timestamp,problem,best_distance,optimal_distance,gap_percent,improvement_percent,total_time_s,generations,population_size,mutation_prob,crossover_prob,elitism_percent,selection_method,mutation_method,crossover_method,initial_distance,convergence_gen
1767805626.187475,ATT48,21381,10628,101.17613850207002,1.0533332824707031,1.0533616542816162,200,100,0.05,1.0,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805627.2364907,ATT48,24742,10628,132.80015054572826,1.0489788055419922,1.0490081310272217,200,100,0.05,1.0,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805628.286034,ATT48,23583,10628,121.89499435453519,1.0495061874389648,1.0495357513427734,200,100,0.05,1.0,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805629.338245,ATT48,26316,10628,147.61008656379374,1.0521736145019531,1.052203893661499,200,100,0.05,1.0,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805630.3561237,ATT48,14107,10628,32.73428678961234,1.0178427696228027,1.017871379852295,200,100,0.1,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805631.3758886,ATT48,14808,10628,39.33007150922093,1.0197288990020752,1.0197582244873047,200,100,0.1,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805581.00919,ATT48,13547,10628,27.46518630033873,0.9111192226409912,0.9111626148223877,200,100,0.05,0.8,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805582.001628,ATT48,14029,10628,32.000376364320665,0.9923985004425049,0.9924283027648926,200,100,0.05,0.8,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
1767805582.999885,ATT48,16426,10628,54.554008280015054,0.9982187747955322,0.9982471466064453,200,100,0.05,0.8,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805583.9957008,ATT48,15939,10628,49.97177267595032,0.9957704544067383,0.9958062171936035,200,100,0.05,0.8,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805584.9908628,ATT48,13892,10628,30.711328566051936,0.9951167106628418,0.9951510429382324,200,100,0.05,0.8,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805585.993287,ATT48,21075,10628,98.29695144900263,1.0023760795593262,1.0024073123931885,200,100,0.05,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805586.9957569,ATT48,18408,10628,73.20286036883704,1.0024323463439941,1.002460241317749,200,100,0.05,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805587.9990973,ATT48,19245,10628,81.07828377869778,1.0032975673675537,1.0033283233642578,200,100,0.05,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805589.0310032,ATT48,15186,10628,42.88671433948062,1.031860113143921,1.0318973064422607,200,100,0.05,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805590.0629075,ATT48,14229,10628,33.88219796763266,1.0318641662597656,1.0318946838378906,200,100,0.05,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805591.0948472,ATT48,15006,10628,41.19307489649981,1.031895399093628,1.031926155090332,200,100,0.05,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805592.12537,ATT48,14439,10628,35.85811065111027,1.0304865837097168,1.030515432357788,200,100,0.05,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805593.1501393,ATT48,15855,10628,49.18140760255928,1.0247199535369873,1.0247604846954346,200,100,0.05,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805594.1827312,ATT48,11918,10628,12.137749341362438,1.0325343608856201,1.0325698852539062,200,100,0.05,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
1767805595.2140837,ATT48,14909,10628,40.280391418893494,1.0313162803649902,1.0313444137573242,200,100,0.05,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805596.24777,ATT48,18251,10628,71.7256304102371,1.03365159034729,1.0336790084838867,200,100,0.05,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805597.2828188,ATT48,16266,10628,53.04855099736545,1.0350139141082764,1.0350422859191895,200,100,0.05,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805598.3125818,ATT48,19688,10628,85.24651863003388,1.0297257900238037,1.029754400253296,200,100,0.05,1.0,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805599.3447654,ATT48,22303,10628,109.85133609333835,1.0321390628814697,1.0321755409240723,200,100,0.05,1.0,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805600.419977,ATT48,21337,10628,100.76213774934135,1.0751762390136719,1.0752041339874268,200,100,0.05,1.0,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805601.4365256,ATT48,13497,10628,26.994730899510728,1.0165166854858398,1.0165431499481201,200,100,0.1,0.8,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805602.4451468,ATT48,13202,10628,24.21904403462552,1.0085885524749756,1.008615255355835,200,100,0.1,0.8,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805603.4827938,ATT48,13036,10628,22.657132103876553,1.037613868713379,1.0376408100128174,200,100,0.1,0.8,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805604.5409493,ATT48,13778,10628,29.638690252164096,1.0581114292144775,1.0581486225128174,200,100,0.1,0.8,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805605.465843,ATT48,15743,10628,48.12758750470456,0.9248571395874023,0.9248867034912109,200,100,0.1,0.8,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805606.4934797,ATT48,14198,10628,33.59051561911931,1.0276012420654297,1.0276293754577637,200,100,0.1,0.8,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
